,Date,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
51,2019-05-10,2019,5,10,5.6,29.5,34.7,24.3,6.5,43.9
65,2019-04-26,2019,4,26,52.4,26.3,29.9,24.0,4.7,28.4
94,2019-03-28,2019,3,28,29.0,27.9,33.7,22.9,8.6,34.9
111,2019-03-11,2019,3,11,25.8,27.4,33.0,22.3,7.9,41.0
163,2019-01-18,2019,1,18,38.2,25.8,28.4,23.5,8.6,31.7
259,2018-10-14,2018,10,14,4.2,25.6,26.6,24.2,4.3,31.3
261,2018-10-12,2018,10,12,58.8,26.2,31.0,22.5,5.4,44.6
263,2018-10-10,2018,10,10,60.6,26.5,31.4,23.7,5.4,25.6
264,2018-10-09,2018,10,9,45.4,26.8,29.9,23.5,5.0,21.6
282,2018-09-21,2018,9,21,26.0,26.5,29.8,23.8,5.4,23.0
295,2018-09-08,2018,9,8,45.0,26.7,30.1,21.8,5.8,42.5
299,2018-09-04,2018,9,4,27.8,26.0,27.8,23.0,4.3,35.3
312,2018-08-22,2018,8,22,31.6,27.2,29.9,24.1,6.1,32.0
350,2018-07-15,2018,7,15,25.6,27.3,30.2,21.9,10.1,51.1
362,2018-07-03,2018,7,3,31.4,27.3,29.9,23.1,7.6,29.9
369,2018-06-26,2018,6,26,31.4,27.0,29.0,23.0,5.0,34.6
398,2018-05-28,2018,5,28,47.4,27.4,29.3,24.0,6.8,25.6
513,2018-02-02,2018,2,2,13.0,25.4,27.3,23.9,9.0,31.3
532,2018-01-14,2018,1,14,6.8,23.4,25.1,21.3,7.6,26.6
533,2018-01-13,2018,1,13,42.2,23.0,23.7,22.3,8.3,25.2
534,2018-01-12,2018,1,12,9.8,23.1,24.1,22.2,10.4,37.1
535,2018-01-11,2018,1,11,10.4,23.9,25.6,22.3,9.0,34.9
536,2018-01-10,2018,1,10,29.8,24.5,26.7,22.8,5.8,20.2
538,2018-01-08,2018,1,8,45.8,26.4,30.3,23.4,6.5,26.6
545,2018-01-01,2018,1,1,32.2,24.8,26.7,23.6,5.4,36.0
546,2017-12-31,2017,12,31,63.4,25.0,25.7,23.3,7.2,41.4
555,2017-12-22,2017,12,22,51.6,27.3,32.4,23.5,7.2,25.6
564,2017-12-13,2017,12,13,69.8,26.1,31.7,23.2,5.8,37.4
593,2017-11-14,2017,11,14,45.0,25.8,27.6,23.1,5.4,34.6
601,2017-11-06,2017,11,6,42.6,26.4,29.7,23.1,5.0,33.8
719,2017-07-11,2017,7,11,30.6,27.3,30.1,23.7,6.1,39.6
737,2017-06-23,2017,6,23,29.6,26.5,28.5,22.2,6.5,57.6
760,2017-05-31,2017,5,31,44.8,28.5,32.8,23.7,5.8,27.0
814,2017-04-07,2017,4,7,37.8,27.5,34.4,22.9,6.5,33.5
824,2017-03-28,2017,3,28,30.2,26.4,28.0,23.7,5.8,41.4
851,2017-03-01,2017,3,1,22.0,25.2,27.6,22.9,7.9,28.8
856,2017-02-24,2017,2,24,31.2,25.1,28.7,23.6,5.4,24.8
887,2017-01-24,2017,1,24,17.4,24.0,24.7,23.5,7.2,31.0
888,2017-01-23,2017,1,23,60.6,25.1,28.0,23.5,7.6,38.5
889,2017-01-22,2017,1,22,31.4,26.5,29.9,23.9,10.4,34.6
918,2016-12-24,2016,12,24,73.0,26.3,32.5,23.3,7.2,36.4
935,2016-12-07,2016,12,7,33.4,27.8,33.1,24.2,6.8,32.4
941,2016-12-01,2016,12,1,18.4,25.7,27.2,24.8,5.0,19.8
956,2016-11-16,2016,11,16,30.2,26.4,29.1,22.7,5.8,35.6
958,2016-11-14,2016,11,14,65.6,25.5,27.6,23.2,5.0,39.6
963,2016-11-09,2016,11,9,64.4,27.0,30.0,23.3,5.4,33.5
971,2016-11-01,2016,11,1,35.0,26.7,28.7,23.7,5.4,38.5
996,2016-10-07,2016,10,7,22.2,25.9,27.9,23.4,4.7,33.5
1000,2016-10-03,2016,10,3,75.4,27.8,31.2,21.6,6.8,51.1
1003,2016-09-30,2016,9,30,7.2,28.1,34.3,24.3,6.1,42.8
1043,2016-08-21,2016,8,21,30.6,27.8,29.1,22.9,9.0,32.4
1073,2016-07-22,2016,7,22,28.8,26.0,30.0,23.6,6.5,29.5
1074,2016-07-21,2016,7,21,59.4,27.1,30.5,22.5,5.8,28.1
1077,2016-07-18,2016,7,18,44.0,27.3,32.5,24.8,5.4,23.8
1101,2016-06-24,2016,6,24,67.8,26.7,29.3,22.5,7.6,50.8
1138,2016-05-18,2016,5,18,54.8,28.5,33.3,24.7,8.6,29.2
1140,2016-05-16,2016,5,16,31.6,28.5,34.3,24.8,6.1,53.6
1174,2016-04-12,2016,4,12,9.4,29.9,34.5,25.7,5.8,45.0
1222,2016-02-24,2016,2,24,71.8,25.9,29.5,23.3,8.3,45.4
1227,2016-02-19,2016,2,19,70.4,25.1,28.2,23.8,6.8,42.8
1239,2016-02-07,2016,2,7,26.4,27.0,28.4,25.2,18.4,45.7
1274,2016-01-03,2016,1,3,16.6,25.4,26.8,24.5,5.4,22.3
1275,2016-01-02,2016,1,2,39.6,25.7,28.0,22.9,6.8,58.7
1279,2015-12-29,2015,12,29,39.0,26.9,29.2,23.8,10.4,36.4
1284,2015-12-24,2015,12,24,40.2,26.4,29.6,22.8,5.8,33.5
1298,2015-12-10,2015,12,10,40.4,27.4,32.7,22.5,7.2,31.7
1308,2015-11-30,2015,11,30,25.8,27.6,33.0,24.7,6.0,31.0
1341,2015-10-28,2015,10,28,24.0,26.6,30.0,21.9,7.9,59.4
1418,2015-08-12,2015,8,12,63.2,26.1,28.0,23.7,7.6,32.0
1427,2015-08-03,2015,8,3,26.2,26.2,28.7,22.6,7.5,31.3
1457,2015-07-04,2015,7,4,22.2,27.4,29.2,22.1,9.5,59.4
1508,2015-05-14,2015,5,14,16.6,29.2,34.2,24.9,10.1,36.7
1519,2015-05-03,2015,5,3,22.2,26.7,29.5,24.0,5.1,36.4
1572,2015-03-11,2015,3,11,46.0,25.5,28.2,23.7,6.3,45.0
1579,2015-03-04,2015,3,4,14.0,27.6,34.4,23.4,7.9,33.1
1647,2014-12-26,2014,12,26,48.2,25.4,29.8,23.7,6.3,28.8
1648,2014-12-25,2014,12,25,36.4,27.3,30.4,25.1,4.8,20.5
1654,2014-12-19,2014,12,19,15.6,25.2,26.4,24.2,5.8,24.5
1666,2014-12-07,2014,12,7,35.2,26.8,33.6,23.8,5.3,34.6
1667,2014-12-06,2014,12,6,27.4,26.8,30.0,23.4,5.7,42.1
1672,2014-12-01,2014,12,1,26.4,26.4,29.8,22.4,4.3,49.7
1690,2014-11-13,2014,11,13,64.4,27.0,32.0,22.2,6.0,50.8
1695,2014-11-08,2014,11,8,50.4,27.2,32.4,23.2,7.4,49.7
1739,2014-09-25,2014,9,25,23.4,26.4,29.4,23.3,6.6,49.0
1766,2014-08-29,2014,8,29,39.4,26.8,30.3,22.0,6.6,34.6
1767,2014-08-28,2014,8,28,38.8,26.6,29.8,23.5,5.8,32.0
1769,2014-08-26,2014,8,26,44.2,26.8,29.8,23.6,6.3,33.8
1781,2014-08-14,2014,8,14,41.2,26.8,29.4,23.5,7.1,23.8
1869,2014-05-18,2014,5,18,22.2,26.7,29.2,23.7,4.5,28.4
