Mean_Monthly_Temperature (°C),Year,Month
26.5,1983,1
28.1,1983,2
28.9,1983,3
29.4,1983,4
28.3,1983,5
28.3,1983,6
27.6,1983,7
28.1,1983,8
27.2,1983,9
27.6,1983,10
26.6,1983,11
25.4,1983,12
25.5,1984,1
25.8,1984,2
26.5,1984,3
27.3,1984,4
27.3,1984,5
27.5,1984,6
27.2,1984,7
27.4,1984,8
26.8,1984,9
27.4,1984,10
26.5,1984,11
26.0,1984,12
26.6,1985,1
27.0,1985,2
27.1,1985,3
27.5,1985,4
28.0,1985,5
28.2,1985,6
27.0,1985,7
27.7,1985,8
26.9,1985,9
26.7,1985,10
26.6,1985,11
26.1,1985,12
25.7,1986,1
26.9,1986,2
26.4,1986,3
27.4,1986,4
28.2,1986,5
27.9,1986,6
27.9,1986,7
28.3,1986,8
26.7,1986,9
26.9,1986,10
26.6,1986,11
26.3,1986,12
25.5,1987,1
26.6,1987,2
27.5,1987,3
27.9,1987,4
27.6,1987,5
28.7,1987,6
28.1,1987,7
27.4,1987,8
27.6,1987,9
27.9,1987,10
27.3,1987,11
26.4,1987,12
26.8,1988,1
27.1,1988,2
27.3,1988,3
27.8,1988,4
28.4,1988,5
28.0,1988,6
27.3,1988,7
27.0,1988,8
27.1,1988,9
27.5,1988,10
26.3,1988,11
26.2,1988,12
26.5,1989,1
26.6,1989,2
26.3,1989,3
27.0,1989,4
27.3,1989,5
27.5,1989,6
27.7,1989,7
27.1,1989,8
26.9,1989,9
27.1,1989,10
26.7,1989,11
26.3,1989,12
26.2,1990,1
27.6,1990,2
28.2,1990,3
28.5,1990,4
28.6,1990,5
28.3,1990,6
27.5,1990,7
28.0,1990,8
27.2,1990,9
27.5,1990,10
27.2,1990,11
26.3,1990,12
26.7,1991,1
27.1,1991,2
27.8,1991,3
27.7,1991,4
27.7,1991,5
28.6,1991,6
28.5,1991,7
28.2,1991,8
27.5,1991,9
27.5,1991,10
26.3,1991,11
25.6,1991,12
26.6,1992,1
27.5,1992,2
28.2,1992,3
28.4,1992,4
28.1,1992,5
28.0,1992,6
27.3,1992,7
27.8,1992,8
27.3,1992,9
27.4,1992,10
26.1,1992,11
25.5,1992,12
26.2,1993,1
26.7,1993,2
26.7,1993,3
27.6,1993,4
28.2,1993,5
28.5,1993,6
27.9,1993,7
28.6,1993,8
27.9,1993,9
27.5,1993,10
26.9,1993,11
26.5,1993,12
26.9,1994,1
27.0,1994,2
26.8,1994,3
27.9,1994,4
28.1,1994,5
28.1,1994,6
28.4,1994,7
28.1,1994,8
28.3,1994,9
27.9,1994,10
26.7,1994,11
26.9,1994,12
26.8,1995,1
26.5,1995,2
27.6,1995,3
27.9,1995,4
28.5,1995,5
28.9,1995,6
28.0,1995,7
27.4,1995,8
28.3,1995,9
27.8,1995,10
27.0,1995,11
26.3,1995,12
26.2,1996,1
26.5,1996,2
27.8,1996,3
27.8,1996,4
28.5,1996,5
28.3,1996,6
28.3,1996,7
27.4,1996,8
27.7,1996,9
27.5,1996,10
27.3,1996,11
26.6,1996,12
27.1,1997,1
27.4,1997,2
28.1,1997,3
28.1,1997,4
29.3,1997,5
29.3,1997,6
28.8,1997,7
28.8,1997,8
28.8,1997,9
28.2,1997,10
27.8,1997,11
27.3,1997,12
28.0,1998,1
28.9,1998,2
29.5,1998,3
29.2,1998,4
29.4,1998,5
28.6,1998,6
28.1,1998,7
27.5,1998,8
27.9,1998,9
28.0,1998,10
27.9,1998,11
26.6,1998,12
26.6,1999,1
27.2,1999,2
27.1,1999,3
28.3,1999,4
28.0,1999,5
28.2,1999,6
27.8,1999,7
27.5,1999,8
27.9,1999,9
27.2,1999,10
27.3,1999,11
26.8,1999,12
26.3,2000,1
26.6,2000,2
27.2,2000,3
27.5,2000,4
28.6,2000,5
27.6,2000,6
28.1,2000,7
27.5,2000,8
28.0,2000,9
27.8,2000,10
27.3,2000,11
27.0,2000,12
26.5,2001,1
27.0,2001,2
27.5,2001,3
27.7,2001,4
28.5,2001,5
28.2,2001,6
28.4,2001,7
28.0,2001,8
28.0,2001,9
27.6,2001,10
27.2,2001,11
26.7,2001,12
27.0,2002,1
27.3,2002,2
28.2,2002,3
28.6,2002,4
28.9,2002,5
28.7,2002,6
28.4,2002,7
28.5,2002,8
28.1,2002,9
28.7,2002,10
27.4,2002,11
27.2,2002,12
26.7,2003,1
27.1,2003,2
28.1,2003,3
27.9,2003,4
29.2,2003,5
28.9,2003,6
28.1,2003,7
28.2,2003,8
27.6,2003,9
27.6,2003,10
27.1,2003,11
26.5,2003,12
26.9,2004,1
27.6,2004,2
27.7,2004,3
28.9,2004,4
28.9,2004,5
29.0,2004,6
27.3,2004,7
28.3,2004,8
27.8,2004,9
27.8,2004,10
27.3,2004,11
26.8,2004,12
26.6,2005,1
28.5,2005,2
28.5,2005,3
28.7,2005,4
28.5,2005,5
28.8,2005,6
28.0,2005,7
28.2,2005,8
28.2,2005,9
27.6,2005,10
27.3,2005,11
27.3,2005,12
26.5,2006,1
27.5,2006,2
28.3,2006,3
27.6,2006,4
28.1,2006,5
27.8,2006,6
28.4,2006,7
28.3,2006,8
28.0,2006,9
28.3,2006,10
27.3,2006,11
26.6,2006,12
26.5,2007,1
27.3,2007,2
27.5,2007,3
28.1,2007,4
28.3,2007,5
28.4,2007,6
27.7,2007,7
27.7,2007,8
27.8,2007,9
27.8,2007,10
26.9,2007,11
26.4,2007,12
26.8,2008,1
26.7,2008,2
26.5,2008,3
28.1,2008,4
28.8,2008,5
28.2,2008,6
27.8,2008,7
27.4,2008,8
27.7,2008,9
27.6,2008,10
27.3,2008,11
26.9,2008,12
26.8,2009,1
27.3,2009,2
27.2,2009,3
28.5,2009,4
28.7,2009,5
29.1,2009,6
28.3,2009,7
28.3,2009,8
28.3,2009,9
28.2,2009,10
27.2,2009,11
27.1,2009,12
27.5,2010,1
28.9,2010,2
28.6,2010,3
28.6,2010,4
29.2,2010,5
28.3,2010,6
27.7,2010,7
27.9,2010,8
28.0,2010,9
28.3,2010,10
27.4,2010,11
26.8,2010,12
26.3,2011,1
27.3,2011,2
27.1,2011,3
27.9,2011,4
28.5,2011,5
28.4,2011,6
28.7,2011,7
27.9,2011,8
27.8,2011,9
27.3,2011,10
27.1,2011,11
26.6,2011,12
26.7,2012,1
27.2,2012,2
27.0,2012,3
27.6,2012,4
28.2,2012,5
28.7,2012,6
27.7,2012,7
27.9,2012,8
27.9,2012,9
27.7,2012,10
27.1,2012,11
26.7,2012,12
27.1,2013,1
26.5,2013,2
28.3,2013,3
28.2,2013,4
28.2,2013,5
29.0,2013,6
27.8,2013,7
27.9,2013,8
27.5,2013,9
27.7,2013,10
27.1,2013,11
26.5,2013,12
26.2,2014,1
27.2,2014,2
27.9,2014,3
28.2,2014,4
28.6,2014,5
29.0,2014,6
28.7,2014,7
27.7,2014,8
28.5,2014,9
28.4,2014,10
27.5,2014,11
27.0,2014,12
26.9,2015,1
27.0,2015,2
28.2,2015,3
28.6,2015,4
28.7,2015,5
29.0,2015,6
29.1,2015,7
28.4,2015,8
28.7,2015,9
28.7,2015,10
28.0,2015,11
27.7,2015,12
28.3,2016,1
27.8,2016,2
29.0,2016,3
29.4,2016,4
29.3,2016,5
28.5,2016,6
28.4,2016,7
28.9,2016,8
28.3,2016,9
28.3,2016,10
27.4,2016,11
27.4,2016,12
26.9,2017,1
26.9,2017,2
27.4,2017,3
27.8,2017,4
28.5,2017,5
28.5,2017,6
28.3,2017,7
28.1,2017,8
28.0,2017,9
27.9,2017,10
27.1,2017,11
27.0,2017,12
26.1,2018,1
27.2,2018,2
28.0,2018,3
28.5,2018,4
28.7,2018,5
28.4,2018,6
28.5,2018,7
28.5,2018,8
28.0,2018,9
27.9,2018,10
27.3,2018,11
27.6,2018,12
28.0,2019,1
28.2,2019,2
28.7,2019,3
28.6,2019,4
29.3,2019,5
28.4,2019,6
