,Date,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
0,2019-06-30,2019,6,30,0.0,28.8,30.9,27.3,10.1,28.8
1,2019-06-29,2019,6,29,18.4,28.6,32.0,23.9,13.0,41.8
2,2019-06-28,2019,6,28,0.0,29.6,32.2,27.8,14.4,33.5
3,2019-06-27,2019,6,27,0.0,29.2,32.2,26.7,9.7,34.2
4,2019-06-26,2019,6,26,0.0,28.3,31.2,27.1,8.6,43.2
5,2019-06-25,2019,6,25,0.0,29.5,32.1,27.6,15.8,36.7
6,2019-06-24,2019,6,24,0.6,28.9,32.5,25.7,11.2,34.6
7,2019-06-23,2019,6,23,0.0,28.6,31.9,25.5,7.9,27.4
8,2019-06-22,2019,6,22,18.6,26.8,30.1,23.3,6.5,57.6
9,2019-06-21,2019,6,21,28.0,27.8,31.7,24.7,6.8,30.2
10,2019-06-20,2019,6,20,4.4,28.6,32.4,25.2,9.4,42.1
11,2019-06-19,2019,6,19,1.4,27.9,29.5,26.2,6.1,24.1
12,2019-06-18,2019,6,18,9.8,27.1,28.6,25.0,6.5,26.6
13,2019-06-17,2019,6,17,0.0,29.2,31.4,27.7,10.1,29.9
14,2019-06-16,2019,6,16,0.0,29.3,32.2,27.3,8.6,34.2
15,2019-06-15,2019,6,15,0.0,28.7,31.8,26.8,6.8,28.1
16,2019-06-14,2019,6,14,5.0,28.9,32.1,26.8,7.9,26.3
17,2019-06-13,2019,6,13,2.8,28.7,30.6,27.0,10.8,36.7
18,2019-06-12,2019,6,12,18.2,27.2,29.7,23.6,7.9,30.6
19,2019-06-11,2019,6,11,0.0,29.9,32.9,26.9,11.9,34.2
20,2019-06-10,2019,6,10,0.0,30.0,33.0,27.9,12.2,32.8
21,2019-06-09,2019,6,9,0.2,28.9,32.0,26.9,9.0,37.8
22,2019-06-08,2019,6,8,0.6,27.4,29.8,25.6,6.8,23.0
23,2019-06-07,2019,6,7,10.6,26.1,27.5,24.4,6.5,31.3
24,2019-06-06,2019,6,6,4.0,27.1,29.0,25.2,6.8,32.0
25,2019-06-05,2019,6,5,0.0,29.4,32.6,27.8,8.6,29.5
26,2019-06-04,2019,6,4,0.0,28.3,31.1,25.5,8.6,27.4
27,2019-06-03,2019,6,3,37.6,26.9,31.4,24.2,6.1,27.7
