Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2019,12,1,0,0,0,0,28.3,32.3,25.6,7.6,30.6
Changi,2019,12,2,59.6,27.4,47.2,56.8,26.7,31.2,23.9,6.8,28.4
Changi,2019,12,3,0,0,0,0,27.8,30.3,25.7,13.3,35.6
Changi,2019,12,4,0,0,0,0,28.2,31.8,26,13.3,39.2
Changi,2019,12,5,0,0,0,0,27.6,30.2,25.9,10.4,37.4
Changi,2019,12,6,0,0,0,0,27.9,31.9,25.3,14,37.8
Changi,2019,12,7,0.2,0.2,0.2,0.2,28,30,25.6,15.8,42.8
Changi,2019,12,8,3,2,2.2,3,26.1,27.3,24.6,10.4,33.5
Changi,2019,12,9,74.2,20.6,26.2,36.8,24.6,27.5,23.1,8.3,28.1
Changi,2019,12,10,22.2,10.2,13,14,25,26.7,23,6.1,36.7
Changi,2019,12,11,33.2,9.2,14,21.6,24.1,25.8,22.7,7.6,26.6
Changi,2019,12,12,3.4,2.2,3,3.4,27,31.1,23.6,12.6,35.6
Changi,2019,12,13,64.2,17.2,20.4,24,25.1,29.2,23,7.6,41.8
Changi,2019,12,14,43.8,9,9.2,13.4,24.4,27,23,5.4,18.4
Changi,2019,12,15,62.8,15.8,23.2,32.8,24.2,25.2,23.4,4.7,22.3
Changi,2019,12,16,0,0,0,0,25.9,30.1,23.2,7.2,24.5
Changi,2019,12,17,13.4,5,5.6,7,25.3,28.5,24.5,5,21.6
Changi,2019,12,18,34.8,18.8,20,34.2,26.1,31.1,24,5.8,27.7
Changi,2019,12,19,0,0,0,0,26.8,30.7,24.4,8.3,30.6
Changi,2019,12,20,0,0,0,0,27.3,30.9,24.9,9.7,37.4
Changi,2019,12,21,3.9,3.9,3.9,3.9,27.2,30.9,25.4,9.7,31.7
Changi,2019,12,22,0,0,0,0,26.9,30.6,24.8,7.9,26.6
Changi,2019,12,23,2.8,2.8,2.8,2.8,27.4,31.7,25.1,9.4,28.8
Changi,2019,12,24,0,0,0,0,27.5,31.2,25.4,10.8,34.9
Changi,2019,12,25,0,0,0,0,27.5,31.3,25.1,9.4,28.8
Changi,2019,12,26,0,0,0,0,27.1,30.3,24.7,10.4,30.2
Changi,2019,12,27,0,0,0,0,27.7,31.4,25.1,12.2,33.8
Changi,2019,12,28,0,0,0,0,27.7,31.1,25.5,13.3,37.1
Changi,2019,12,29,0,0,0,0,27.9,31.6,25.7,13.7,34.6
Changi,2019,12,30,0,0,0,0,28,31.6,25.5,11.9,32
Changi,2019,12,31,0,0,0,0,27.8,32.2,25.3,11.5,34.2
