Date,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2019-11-30,2019,11,30,9.4,27.6,32.1,25.0,6.8,28.1
2019-11-29,2019,11,29,73.4,26.5,32.0,24.0,6.1,31.3
2019-11-28,2019,11,28,9.0,27.8,31.4,25.3,7.6,27.4
2019-11-27,2019,11,27,1.8,27.5,31.5,25.4,7.2,31.3
2019-11-26,2019,11,26,0.0,28.5,33.0,25.7,10.4,34.9
2019-11-25,2019,11,25,0.0,27.8,32.6,24.7,5.8,29.9
2019-11-24,2019,11,24,16.6,26.6,32.8,24.2,6.5,27.0
2019-11-23,2019,11,23,0.4,26.7,30.6,24.6,8.3,28.8
2019-11-22,2019,11,22,0.4,26.4,31.5,24.9,6.5,31.0
2019-11-21,2019,11,21,0.8,26.5,30.8,25.2,6.1,24.5
2019-11-20,2019,11,20,4.0,26.3,29.1,24.7,6.1,29.9
2019-11-19,2019,11,19,0.0,28.0,32.1,26.1,7.2,29.5
2019-11-18,2019,11,18,0.2,28.4,34.0,25.9,7.6,33.5
2019-11-17,2019,11,17,0.0,29.0,34.4,25.5,8.3,37.4
2019-11-16,2019,11,16,0.0,28.4,33.1,25.9,7.9,27.4
2019-11-15,2019,11,15,1.2,27.2,30.6,24.7,5.8,24.1
2019-11-14,2019,11,14,0.0,27.6,30.4,25.9,9.4,32.4
2019-11-13,2019,11,13,0.0,29.0,33.4,26.2,6.5,28.4
2019-11-12,2019,11,12,0.0,28.7,33.2,26.6,5.0,22.7
2019-11-11,2019,11,11,0.0,29.1,32.9,26.9,5.8,28.4
2019-11-10,2019,11,10,0.0,28.9,33.6,25.0,6.8,37.4
2019-11-09,2019,11,9,0.0,28.2,33.7,25.8,5.8,28.8
2019-11-08,2019,11,8,1.4,28.2,32.2,24.0,8.3,39.2
2019-11-07,2019,11,7,0.0,29.9,33.5,27.0,9.0,27.4
2019-11-06,2019,11,6,0.2,29.4,32.7,26.3,7.9,30.6
2019-11-05,2019,11,5,0.0,28.2,32.2,26.1,6.5,32.0
2019-11-04,2019,11,4,3.8,28.6,32.1,25.8,5.0,23.8
2019-11-03,2019,11,3,0.0,28.3,32.5,26.3,7.2,25.9
2019-11-02,2019,11,2,0.0,29.3,33.1,26.2,7.9,33.1
2019-11-01,2019,11,1,14.8,27.8,33.4,22.9,7.9,45.4
2019-10-31,2019,10,31,0.0,28.4,32.1,26.4,5.0,24.1
2019-10-30,2019,10,30,0.0,28.3,32.5,26.4,6.5,40.7
2019-10-29,2019,10,29,0.0,28.5,32.5,24.8,6.5,28.1
2019-10-28,2019,10,28,15.2,26.1,30.4,24.3,5.4,20.9
2019-10-27,2019,10,27,92.2,27.2,32.8,23.1,6.1,36.4
2019-10-26,2019,10,26,4.8,27.3,33.0,23.8,5.0,28.8
2019-10-25,2019,10,25,0.0,29.4,33.3,26.5,7.9,29.5
2019-10-24,2019,10,24,0.0,28.1,32.5,25.9,7.6,28.4
2019-10-23,2019,10,23,0.6,27.4,32.0,24.7,5.4,29.9
2019-10-22,2019,10,22,28.8,26.5,29.2,23.9,5.4,24.5
2019-10-21,2019,10,21,0.0,28.5,32.6,26.1,7.2,35.3
2019-10-20,2019,10,20,6.2,28.5,32.9,26.3,9.0,31.0
2019-10-19,2019,10,19,0.0,29.2,33.6,26.8,9.7,42.8
2019-10-18,2019,10,18,0.0,28.5,31.8,26.1,8.3,48.6
2019-10-17,2019,10,17,0.2,28.8,34.0,26.3,7.6,38.5
2019-10-16,2019,10,16,1.6,29.0,33.2,26.5,9.0,34.9
2019-10-15,2019,10,15,0.0,28.9,33.2,26.0,7.6,28.1
2019-10-14,2019,10,14,0.0,29.2,34.4,26.5,9.7,43.6
2019-10-13,2019,10,13,0.0,28.9,33.8,25.9,10.8,36.0
2019-10-12,2019,10,12,0.2,28.7,33.6,26.4,7.2,36.7
2019-10-11,2019,10,11,0.0,28.9,33.8,25.3,10.1,36.7
2019-10-10,2019,10,10,0.0,28.6,33.3,25.5,6.5,38.2
2019-10-09,2019,10,9,0.0,28.0,32.5,25.6,6.5,27.4
2019-10-08,2019,10,8,0.0,27.9,32.1,24.7,6.5,35.6
2019-10-07,2019,10,7,12.4,27.3,33.2,23.6,7.9,31.3
2019-10-06,2019,10,6,7.6,27.9,33.7,24.5,8.3,51.8
2019-10-05,2019,10,5,0.6,28.6,33.9,24.9,14.4,40.0
2019-10-04,2019,10,4,0.8,28.1,32.3,25.8,10.1,26.6
2019-10-03,2019,10,3,0.0,27.2,31.5,23.8,9.0,29.5
2019-10-02,2019,10,2,4.0,26.4,31.2,22.9,6.5,37.1
2019-10-01,2019,10,1,1.6,28.0,32.2,25.4,7.6,40.0
2019-09-30,2019,9,30,1.4,27.5,31.3,25.1,6.8,34.2
2019-09-29,2019,9,29,0.0,28.4,33.3,26.5,6.8,41.4
2019-09-28,2019,9,28,0.0,28.9,34.3,26.0,7.6,29.5
2019-09-27,2019,9,27,0.0,29.2,34.1,26.8,9.7,30.6
2019-09-26,2019,9,26,0.0,28.5,33.5,25.4,9.0,31.0
2019-09-25,2019,9,25,16.4,26.8,30.9,22.9,5.4,29.5
2019-09-24,2019,9,24,1.2,29.0,34.1,25.8,9.7,33.1
2019-09-23,2019,9,23,3.8,28.3,31.1,25.3,14.0,47.2
2019-09-22,2019,9,22,0.0,29.3,33.9,26.7,16.6,36.7
2019-09-21,2019,9,21,0.0,29.4,33.9,26.4,16.6,38.5
2019-09-20,2019,9,20,0.0,29.1,32.9,27.2,14.8,38.9
2019-09-19,2019,9,19,0.0,29.4,33.1,27.4,18.7,46.1
2019-09-18,2019,9,18,0.0,29.3,33.2,27.5,18.4,40.0
2019-09-17,2019,9,17,0.0,29.2,32.5,27.0,13.7,31.0
2019-09-16,2019,9,16,0.0,29.0,32.3,26.8,11.9,30.2
2019-09-15,2019,9,15,0.0,28.9,32.3,27.3,15.8,34.2
2019-09-14,2019,9,14,0.0,28.6,30.5,27.1,11.5,31.0
2019-09-13,2019,9,13,0.0,29.3,32.7,27.1,12.2,29.9
2019-09-12,2019,9,12,0.0,29.4,33.8,27.0,13.3,41.0
2019-09-11,2019,9,11,0.0,29.4,33.8,27.0,13.3,31.7
2019-09-10,2019,9,10,0.0,29.3,33.7,27.3,16.9,34.9
2019-09-09,2019,9,9,0.0,29.5,33.6,27.2,14.8,33.1
2019-09-08,2019,9,8,0.0,29.4,33.2,27.1,16.9,42.5
2019-09-07,2019,9,7,0.0,29.5,33.7,27.2,18.4,41.0
2019-09-06,2019,9,6,0.0,29.3,33.4,27.0,15.8,35.3
2019-09-05,2019,9,5,0.0,29.4,33.3,27.3,16.6,39.6
2019-09-04,2019,9,4,0.0,29.3,33.5,24.7,13.3,31.7
2019-09-03,2019,9,3,0.0,29.5,32.6,27.6,14.4,35.3
2019-09-02,2019,9,2,0.0,29.7,33.8,27.3,16.9,41.8
2019-09-01,2019,9,1,0.0,29.3,33.1,26.7,11.5,29.5
2019-08-31,2019,8,31,0.0,29.1,33.2,27.1,17.3,37.8
2019-08-30,2019,8,30,0.0,28.9,31.7,26.7,14.8,43.6
2019-08-29,2019,8,29,0.0,28.9,32.5,26.4,15.1,36.4
2019-08-28,2019,8,28,0.6,26.8,27.9,25.3,7.6,26.3
2019-08-27,2019,8,27,1.2,27.0,30.8,25.7,6.8,28.4
2019-08-26,2019,8,26,2.2,27.8,33.2,24.5,9.7,40.7
2019-08-25,2019,8,25,3.8,28.5,32.9,25.7,10.4,33.1
2019-08-24,2019,8,24,0.0,29.4,33.4,27.1,16.2,37.4
2019-08-23,2019,8,23,0.0,29.6,34.0,27.6,18.0,44.3
2019-08-22,2019,8,22,0.0,29.4,33.5,27.3,15.1,37.8
2019-08-21,2019,8,21,0.0,29.4,32.6,27.7,16.2,44.3
2019-08-20,2019,8,20,0.0,29.5,33.5,27.4,20.2,43.2
2019-08-19,2019,8,19,0.0,29.5,33.4,27.2,13.3,32.0
