Date,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2019-07-01,2019,7,1,0.0,29.4,32.1,27.7,14.8,36.0
2019-07-02,2019,7,2,0.0,29.7,32.3,27.9,13.0,33.8
2019-07-03,2019,7,3,0.2,28.7,31.0,26.9,9.7,28.4
2019-07-04,2019,7,4,0.0,29.3,32.3,27.3,11.2,27.7
2019-07-05,2019,7,5,0.0,29.5,32.8,27.8,15.5,42.5
2019-07-06,2019,7,6,0.2,29.3,33.2,26.8,11.5,36.7
2019-07-07,2019,7,7,0.0,28.9,31.6,27.4,8.3,27.4
2019-07-08,2019,7,8,1.2,28.2,31.9,25.9,7.2,42.1
2019-07-09,2019,7,9,0.6,27.9,30.1,24.8,8.3,32.4
2019-07-10,2019,7,10,0.0,29.4,32.1,27.6,18.4,34.2
2019-07-11,2019,7,11,0.0,29.6,32.9,27.5,16.6,34.6
2019-07-12,2019,7,12,0.0,29.2,32.6,27.4,13.0,36.7
2019-07-13,2019,7,13,0.0,29.4,32.6,27.1,14.4,38.5
2019-07-14,2019,7,14,0.0,29.7,32.7,28.0,14.4,30.2
2019-07-15,2019,7,15,2.0,27.2,28.7,23.9,9.0,42.5
2019-07-16,2019,7,16,0.6,28.7,31.3,26.5,14.8,40.0
2019-07-17,2019,7,17,0.0,29.1,31.8,26.9,15.8,34.6
2019-07-18,2019,7,18,0.0,29.3,32.6,27.2,17.3,44.6
2019-07-19,2019,7,19,0.0,29.2,32.6,27.3,15.1,37.4
2019-07-20,2019,7,20,0.0,29.4,32.7,27.3,13.3,30.6
2019-07-21,2019,7,21,0.0,28.8,32.3,27.0,7.2,31.3
2019-07-22,2019,7,22,0.0,28.4,32.0,27.2,9.4,32.4
2019-07-23,2019,7,23,6.6,27.6,31.2,24.2,8.6,33.8
2019-07-24,2019,7,24,0.0,28.9,31.6,26.6,11.5,35.6
2019-07-25,2019,7,25,0.0,29.1,31.7,27.1,8.6,29.2
2019-07-26,2019,7,26,0.0,29.1,33.0,26.3,13.0,33.8
2019-07-27,2019,7,27,0.0,29.3,32.9,26.9,13.3,32.8
2019-07-28,2019,7,28,0.8,29.0,31.8,26.9,14.0,39.2
2019-07-29,2019,7,29,0.0,29.7,33.4,27.4,13.7,32.4
2019-07-30,2019,7,30,0.0,29.4,32.4,27.3,15.5,37.8
2019-07-31,2019,7,31,0.0,29.4,32.6,27.4,15.5,47.2
2019-08-01,2019,8,1,0.0,29.4,32.9,26.7,12.2,34.2
2019-08-02,2019,8,2,0.0,29.5,33.0,27.5,15.1,36.0
2019-08-03,2019,8,3,0.0,29.3,33.1,27.7,14.8,34.6
2019-08-04,2019,8,4,0.0,29.4,32.6,27.6,15.5,35.3
2019-08-05,2019,8,5,0.0,29.3,32.5,27.6,15.5,36.4
2019-08-06,2019,8,6,1.6,29.1,31.9,27.6,15.8,38.2
2019-08-07,2019,8,7,2.4,28.7,31.9,27.2,16.2,36.4
2019-08-08,2019,8,8,0.0,29.2,32.2,27.3,15.1,35.3
2019-08-09,2019,8,9,0.0,29.2,32.1,27.4,15.5,40.7
2019-08-10,2019,8,10,0.0,29.2,32.3,27.7,18.7,40.7
2019-08-11,2019,8,11,0.0,29.6,32.9,27.7,15.5,36.4
2019-08-12,2019,8,12,0.0,29.8,33.2,27.8,16.2,37.1
2019-08-13,2019,8,13,0.0,29.5,32.8,27.5,16.9,40.0
2019-08-14,2019,8,14,0.0,29.3,33.2,27.4,15.1,38.2
2019-08-15,2019,8,15,0.0,29.5,33.3,27.2,13.0,35.3
2019-08-16,2019,8,16,0.0,29.8,33.2,27.7,15.5,36.4
2019-08-17,2019,8,17,0.0,29.5,33.3,27.6,18.7,42.5
2019-08-18,2019,8,18,0.0,29.7,33.3,27.8,18.4,42.1
2019-08-19,2019,8,19,0.0,29.5,33.4,27.2,13.3,32.0
2019-08-20,2019,8,20,0.0,29.5,33.5,27.4,20.2,43.2
2019-08-21,2019,8,21,0.0,29.4,32.6,27.7,16.2,44.3
2019-08-22,2019,8,22,0.0,29.4,33.5,27.3,15.1,37.8
2019-08-23,2019,8,23,0.0,29.6,34.0,27.6,18.0,44.3
2019-08-24,2019,8,24,0.0,29.4,33.4,27.1,16.2,37.4
2019-08-25,2019,8,25,3.8,28.5,32.9,25.7,10.4,33.1
2019-08-26,2019,8,26,2.2,27.8,33.2,24.5,9.7,40.7
2019-08-27,2019,8,27,1.2,27.0,30.8,25.7,6.8,28.4
2019-08-28,2019,8,28,0.6,26.8,27.9,25.3,7.6,26.3
2019-08-29,2019,8,29,0.0,28.9,32.5,26.4,15.1,36.4
2019-08-30,2019,8,30,0.0,28.9,31.7,26.7,14.8,43.6
2019-08-31,2019,8,31,0.0,29.1,33.2,27.1,17.3,37.8
2019-09-01,2019,9,1,0.0,29.3,33.1,26.7,11.5,29.5
2019-09-02,2019,9,2,0.0,29.7,33.8,27.3,16.9,41.8
2019-09-03,2019,9,3,0.0,29.5,32.6,27.6,14.4,35.3
2019-09-04,2019,9,4,0.0,29.3,33.5,24.7,13.3,31.7
2019-09-05,2019,9,5,0.0,29.4,33.3,27.3,16.6,39.6
2019-09-06,2019,9,6,0.0,29.3,33.4,27.0,15.8,35.3
2019-09-07,2019,9,7,0.0,29.5,33.7,27.2,18.4,41.0
2019-09-08,2019,9,8,0.0,29.4,33.2,27.1,16.9,42.5
2019-09-09,2019,9,9,0.0,29.5,33.6,27.2,14.8,33.1
2019-09-10,2019,9,10,0.0,29.3,33.7,27.3,16.9,34.9
2019-09-11,2019,9,11,0.0,29.4,33.8,27.0,13.3,31.7
2019-09-12,2019,9,12,0.0,29.4,33.8,27.0,13.3,41.0
2019-09-13,2019,9,13,0.0,29.3,32.7,27.1,12.2,29.9
2019-09-14,2019,9,14,0.0,28.6,30.5,27.1,11.5,31.0
2019-09-15,2019,9,15,0.0,28.9,32.3,27.3,15.8,34.2
2019-09-16,2019,9,16,0.0,29.0,32.3,26.8,11.9,30.2
2019-09-17,2019,9,17,0.0,29.2,32.5,27.0,13.7,31.0
2019-09-18,2019,9,18,0.0,29.3,33.2,27.5,18.4,40.0
2019-09-19,2019,9,19,0.0,29.4,33.1,27.4,18.7,46.1
2019-09-20,2019,9,20,0.0,29.1,32.9,27.2,14.8,38.9
2019-09-21,2019,9,21,0.0,29.4,33.9,26.4,16.6,38.5
2019-09-22,2019,9,22,0.0,29.3,33.9,26.7,16.6,36.7
