Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2005,3,1,7.3,—,—,—,28.9,33.8,25,9,31.7
Changi,2005,3,2,3.9,—,—,—,28.5,32.7,25.2,6.7,29.9
Changi,2005,3,3,18.1,—,—,—,27.5,33.3,23,7.3,36
Changi,2005,3,4,0,—,—,—,28.6,33.1,25.1,11.8,39.2
Changi,2005,3,5,0.4,—,—,—,28.9,33.2,25.7,16.3,47.5
Changi,2005,3,6,2,—,—,—,28.3,32.8,25.8,15.6,41.4
Changi,2005,3,7,0.1,—,—,—,28.2,32.4,23.9,16.3,46.8
Changi,2005,3,8,0,—,—,—,28.2,32.3,25.3,11.7,32.8
Changi,2005,3,9,0,—,—,—,28.1,33.1,24,9.9,32.4
Changi,2005,3,10,0,—,—,—,28.4,33.3,24.7,7.5,34.2
Changi,2005,3,11,0.6,—,—,—,27.7,33.4,25.1,4.1,28.8
Changi,2005,3,12,0,—,—,—,28.5,34.3,25,5.2,34.2
Changi,2005,3,13,0,—,—,—,29,34.4,25.6,9.5,32.4
Changi,2005,3,14,0,—,—,—,29.1,34.2,25.3,11.3,34.9
Changi,2005,3,15,0,—,—,—,29.3,33.9,26.1,12.6,35.3
Changi,2005,3,16,0,—,—,—,29.1,33.7,26.2,15.1,38.9
Changi,2005,3,17,0,—,—,—,29.5,34.4,26.5,14.1,36
Changi,2005,3,18,0,—,—,—,29.4,33.6,26.5,14.5,38.9
Changi,2005,3,19,0.4,—,—,—,28.4,33.1,25.4,11.8,38.5
Changi,2005,3,20,0,—,—,—,28.9,34.1,25.6,6.2,26.6
Changi,2005,3,21,0,—,—,—,29.1,34.1,25.5,9.2,34.2
Changi,2005,3,22,0,—,—,—,29.4,34.2,26.4,7.6,32
Changi,2005,3,23,0,—,—,—,28.8,34.4,26,4.9,30.6
Changi,2005,3,24,0,—,—,—,29.1,33.3,26.5,6.4,27
Changi,2005,3,25,0,—,—,—,29.5,35,25.6,9.2,34.2
Changi,2005,3,26,1,—,—,—,28.1,33.4,25.8,5.6,30.6
Changi,2005,3,27,15.3,—,—,—,27.1,34.1,24.9,4,32.4
Changi,2005,3,28,0,—,—,—,27.6,31.2,25.4,1.7,21.6
Changi,2005,3,29,12,—,—,—,27.4,30.8,24.2,2.7,31.7
Changi,2005,3,30,20.5,—,—,—,28,32.4,25.6,2.5,22.7
Changi,2005,3,31,0.8,—,—,—,26.8,28.9,25.3,2.1,16.2
